q1,q2,q3,q4,f1,f2,f3,f4,f5,target
0.81,0.54,-0.08,-0.23,321,381,495,467,830,zero
0.81,0.54,-0.07,-0.23,315,384,502,470,838,zero
0.81,0.54,-0.07,-0.23,316,385,504,474,838,zero
0.81,0.54,-0.06,-0.23,310,380,492,474,824,zero
0.81,0.54,-0.06,-0.23,311,375,484,474,827,zero
0.8,0.54,-0.06,-0.24,309,368,474,474,830,zero
0.8,0.55,-0.05,-0.24,310,369,488,476,825,zero
0.8,0.55,-0.05,-0.25,303,377,492,471,825,zero
0.8,0.55,-0.05,-0.25,305,370,487,475,819,zero
0.8,0.55,-0.05,-0.25,311,367,482,473,835,zero
0.8,0.55,-0.04,-0.24,323,369,481,473,829,zero
0.8,0.55,-0.04,-0.24,323,373,490,466,820,zero
0.8,0.55,-0.04,-0.24,322,376,492,465,835,zero
0.8,0.55,-0.05,-0.24,322,375,487,460,819,zero
0.79,0.56,-0.06,-0.24,315,377,481,464,832,zero
0.79,0.57,-0.07,-0.23,318,378,478,476,846,zero
0.79,0.57,-0.08,-0.21,323,378,475,470,856,zero
0.79,0.57,-0.09,-0.19,319,382,474,466,827,zero
0.8,0.57,-0.1,-0.17,322,407,472,474,832,zero
0.8,0.57,-0.12,-0.15,318,410,480,470,853,zero
0.8,0.57,-0.14,-0.12,320,411,484,474,848,zero
0.8,0.57,-0.16,-0.1,320,404,477,466,833,zero
0.79,0.58,-0.17,-0.07,319,409,475,469,832,zero
0.78,0.6,-0.18,-0.05,314,408,474,462,820,zero
0.77,0.61,-0.19,-0.04,315,415,478,467,825,zero
0.75,0.63,-0.19,-0.03,310,415,477,469,830,zero
0.74,0.65,-0.19,-0.01,306,416,474,469,824,zero
0.73,0.66,-0.18,-0.01,316,415,480,465,825,zero
0.72,0.67,-0.18,0,320,415,481,464,827,zero
0.71,0.68,-0.17,0,321,411,485,473,822,zero
0.7,0.69,-0.16,0,320,409,480,469,803,zero
0.7,0.7,-0.15,0,317,410,474,466,816,zero
0.7,0.7,-0.14,0,320,421,482,466,814,zero
0.7,0.7,-0.14,0,332,428,482,471,824,zero
0.71,0.69,-0.14,0,329,429,484,470,830,zero
0.71,0.69,-0.14,0,330,431,484,470,808,zero
0.71,0.7,-0.13,0,333,423,475,464,806,zero
